# species	aspect:kind,...
raichu	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
sandshrew	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
sandslash	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
nidoranf	mythical_ominous:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
nidorina	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
nidoqueen	mythical_gilded:texture,mythical_ominous:texture,mythical_smp_v2:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
nidoranm	mythical_ominous:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
nidorino	mythical_gilded:texture,mythical_ominous:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
nidoking	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
clefairy	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
clefable	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
vulpix	mythical_easter:texture,mythical_gilded:texture,mythical_rainbow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
ninetales	mythical_easter:texture,mythical_gilded:texture,mythical_rainbow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
jigglypuff	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
wigglytuff	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
zubat	mythical_gilded:texture,mythical_ominous:texture,mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
golbat	mythical_gilded:texture,mythical_ominous:texture,mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
oddish	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
gloom	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
vileplume	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
paras	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
parasect	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
venonat	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
venomoth	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
diglett	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
dugtrio	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
meowth	mythical_blazing:texture,mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
persian	mythical_blazing:texture,mythical_gilded:texture,mythical_smp_v2:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
psyduck	mythical_easter:texture,mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
golduck	mythical_easter:texture,mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
mankey	mythical_blazing:texture,mythical_gilded:texture,mythical_rainbow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
primeape	mythical_blazing:texture,mythical_gilded:texture,mythical_rainbow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
growlithe	mythical_blazing:texture,mythical_error:texture,mythical_frosted:texture,mythical_gilded:texture,mythical_jungle:texture,mythical_ominous:texture,mythical_pixie:texture,mythical_rainbow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
arcanine	mythical_blazing:texture,mythical_easter:texture,mythical_error:texture,mythical_frosted:texture,mythical_gilded:texture,mythical_jungle:texture,mythical_ominous:texture,mythical_pixie:texture,mythical_plasma:texture,mythical_rainbow:texture,mythical_sakura:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
poliwag	mythical_gilded:texture,mythical_radioactive:texture,mythical_rainbow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
poliwhirl	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
poliwrath	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
abra	mythical_blazing:texture,mythical_gilded:texture,mythical_ominous:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
kadabra	mythical_blazing:texture,mythical_frosted:texture,mythical_gilded:texture,mythical_ominous:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
alakazam	mythical_blazing:texture,mythical_frosted:texture,mythical_gilded:texture,mythical_ominous:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
machop	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
machoke	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
machamp	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
bellsprout	mythical_gilded:texture,mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
weepinbell	mythical_gilded:texture,mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
victreebel	mythical_gilded:texture,mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
tentacool	mythical_gilded:texture,mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
tentacruel	mythical_gilded:texture,mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
geodude	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
graveler	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
golem	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
ponyta	mythical_blazing:texture,mythical_gilded:texture,mythical_pixie:texture,mythical_rainbow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
rapidash	mythical_blazing:texture,mythical_gilded:texture,mythical_pixie:texture,mythical_rainbow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
slowpoke	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
slowbro	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
magnemite	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
magneton	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
farfetchd	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
doduo	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
dodrio	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
seel	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
dewgong	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
grimer	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
muk	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
shellder	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
cloyster	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
gastly	mythical_blazing:texture,mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
haunter	mythical_blazing:texture,mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
gengar	mythical_blazing:texture,mythical_gilded:texture,mythical_ominous:texture,mythical_rainbow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
onix	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
drowzee	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
hypno	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
krabby	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
kingler	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
voltorb	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
electrode	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
exeggcute	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
exeggutor	mythical_gilded:texture,mythical_smp:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
cubone	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
marowak	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
hitmonlee	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
hitmonchan	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
lickitung	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
koffing	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
weezing	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
rhyhorn	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
rhydon	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
chansey	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
tangela	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
kangaskhan	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
horsea	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
seadra	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
goldeen	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
seaking	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
staryu	mythical_gilded:texture,mythical_smp:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
starmie	mythical_smp:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
mrmime	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
scyther	mythical_blazing:texture,mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
jynx	mythical_gilded:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
electabuzz	mythical_gilded:texture,mythical_radioactive:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
magmar	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
pinsir	mythical_gilded:texture,mythical_metallic:texture,mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
tauros	mythical_blazing:texture,mythical_gilded:texture,mythical_sakura:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
magikarp	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
gyarados	mythical_pixie:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
lapras	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
ditto	mythical_amongus_black:texture,mythical_amongus_blue:texture,mythical_amongus_brown:texture,mythical_amongus_green:texture,mythical_amongus_lime:texture,mythical_amongus_orange:texture,mythical_amongus_pink:texture,mythical_amongus_purple:texture,mythical_amongus_red:texture,mythical_amongus_teal:texture,mythical_amongus_white:texture,mythical_amongus_yellow:texture,mythical_easter:texture,mythical_gilded:texture,mythical_nebula:texture,mythical_radioactive:texture,mythical_shadow:texture,mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
eevee	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
vaporeon	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
jolteon	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
flareon	mythical_radiant:shader,mythical_magma:shader,mythical_glitch:shader,mythical_galaxy:shader,mythical_matrix:shader,mythical_firework:shader,mythical_holographic:shader
